titles,rating,price,comments,locations,CAP,city,lng,lat,reference,data_source,url,contact,type
Osteria Valenti di Marco Maffeis,4.0,fascia media,,Via Guglielmo d'Alzano 4,24122.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d1732883-Reviews-L_Osteria_di_Valenti-Bergamo_Province_of_Bergamo_Lombardy.html,035243017,
Da Mimmo ai Colli,4.5,fascia media,,Via Longuelo 264,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d18957662-Reviews-Da_Mimmo_ai_Colli-Bergamo_Province_of_Bergamo_Lombardy.html,+39035260768,
Cucina Cereda,4.5,cucina raffinata,,Via Luigi Piazzini 33,24036.0,Ponte San Pietro,9.5869042,45.69898952,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2314045-d2481862-Reviews-Cucina_Cereda-Ponte_San_Pietro_Province_of_Bergamo_Lombardy.html,+390354371900,
Mimi La Casa Dei Sapori,4.0,fascia media,,Via Bartolomeo Colleoni 26,24129.0,Bergamo,9.66842453,45.69441368,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187830-d3686534-Reviews-Mimi_La_Casa_Dei_Sapori-Bergamo_Province_of_Bergamo_Lombardy.html,+39035236263,
Mamma Farina,3.5,fascia media,,Via Dei Valtorta 44,20127.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d4432695-Reviews-Mamma_Farina_Valtorta-Milan_Lombardy.html,+390243129037,
Al Corbara Bistrot sull'Adda,4.5,fascia media,,Via Alzaia 13,20056.0,Trezzo sull'Adda,9.51924401,45.61015321,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1062531-d19012279-Reviews-Al_Corbara_Bistrot_sull_Adda-Trezzo_sull_Adda_Province_of_Milan_Lombardy.html,+393517381818,
Ciciarà,4.0,fascia media,,Piazza Santo Stefano 8,20122.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d21087711-Reviews-Ciciara-Milan_Lombardy.html,+390284178681,
Al Molo 13,4.0,fascia media,,Via Alzaia 13,20056.0,Trezzo sull'Adda,9.51924401,45.61015321,selvino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1062531-d10595815-Reviews-Al_Molo_13-Trezzo_sull_Adda_Province_of_Milan_Lombardy.html,+39029092013,
Agriturismo Al Maso,5.0,fascia media,,Via Bretto 16,24010.0,Camerata Cornello,9.65566453,45.89956035,san pellegrino terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3734027-d3734031-Reviews-Agriturismo_Al_Maso-Camerata_Cornello_Province_of_Bergamo_Lombardy.html,+393393226964,
Ristorate Pizzeria Del Ponte,4.5,cibo economico,,Via Rava 16,24010.0,Valtorta,9.53500677,45.9775777,valtorta,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g4877219-d4926286-Reviews-Ristorate_Pizzeria_Del_Ponte-Valtorta_Province_of_Bergamo_Lombardy.html,+39034587702,
duse bistrot,4.5,fascia media,,Viale Repubblica 13,25047.0,Darfo Boario Terme,10.18048381,45.88347362,angolo terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1459049-d4564408-Reviews-Duse_Bistrot-Darfo_Boario_Terme_Province_of_Brescia_Lombardy.html,+393472631773,
il Bistrot di Bormio Terme,4.0,fascia media,,via Stelvio 14,23032.0,Bormio,10.37559509,46.47015993,bormio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194697-d2262830-Reviews-Ristorante_Bar_Delle_Terme-Bormio_Province_of_Sondrio_Lombardy.html,+390342901325,
Caffe Orientale,3.0,fascia media,,Via Divisione Julia 8,43039.0,Salsomaggiore Terme,9.97809444,44.81568328,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194892-d7253964-Reviews-Caffe_Orientale-Salsomaggiore_Terme_Province_of_Parma_Emilia_Romagna.html,+390524577103,
Ristorante Pizzeria Terme,4.0,fascia media,,Via Piave 2,39012.0,Merano,11.1618378,46.67176409,valfurva,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187860-d3657292-Reviews-Ristorante_Pizzeria_Terme-Merano_Province_of_South_Tyrol_Trentino_Alto_Adige.html,+390473210455,
Bar delle Terme,4.0,fascia media,,Lungolario Trieste 14,22100.0,Como,9.08515955,45.8099912,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187835-d2094632-Reviews-Bar_delle_Terme-Como_Lake_Como_Lombardy.html,+39031329111,
Pizzeria Ristorante La Piazzetta,4.5,fascia media,,Via Roma 54,36076.0,Recoaro Terme,11.22602664,45.70511802,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1488740-d3617629-Reviews-Pizzeria_Ristorante_La_Piazzetta-Recoaro_Terme_Province_of_Vicenza_Veneto.html,+39044575253,
Gelateria 900,4.5,cibo economico,,Via Mazzini 2,43039.0,Salsomaggiore Terme,9.97809444,44.81568328,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194892-d3853573-Reviews-Gelateria_900-Salsomaggiore_Terme_Province_of_Parma_Emilia_Romagna.html,+390524575332,
Il Mirto,4.0,fascia media,,Via Sopranico 12 Hotel Parco Della Fonte,25080.0,Vallio Terme,10.39578004,45.60922643,collio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1220348-d2219344-Reviews-Il_Mirto-Vallio_Terme_Province_of_Brescia_Lombardy.html,+390365370032,
Ristorante dell'Hotel Terme di Angolo,4.0,fascia media,,Viale delle Terme 53,25040.0,Angolo Terme,10.14687744,45.89295916,angolo terme,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2201620-d12955476-Reviews-Ristorante_dell_Hotel_Terme_di_Angolo-Angolo_Terme_Province_of_Brescia_Lombardy.html,+390364549106,
All'Istciot Hotel Aurora,4.0,fascia media,,Localita Compet Vignola Falesina 28 Vignola Falesina,38056.0,Levico Terme,11.30232766,46.01101281,ponte di legno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194793-d3421514-Reviews-All_Istciot_Hotel_Aurora-Levico_Terme_Province_of_Trento_Trentino_Alto_Adige.html,+390461706467,
Aquardens Restaurant - Ripasso Bistro,3.5,fascia media,,Via Valpolicella 63 Santa Lucia,37026.0,Pescantina,10.86724425,45.48256141,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g652052-d4080523-Reviews-Aquardens_Restaurant_Ripasso_Bistro-Pescantina_Province_of_Verona_Veneto.html,+390456701687,
Rifugio Zoia,4.5,fascia media,,Campo Moro,23020.0,Lanzada,9.87391438,46.2693901,lanzada,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1515178-d4745748-Reviews-Rifugio_Zoia-Lanzada_Province_of_Sondrio_Lombardy.html,+390342451405,
Pesca alla trota - Campo Franscia,4.0,fascia media,,Campo Franscia - Lanzada,23020.0,Lanzada,9.87391438,46.2693901,lanzada,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1515178-d8288203-Reviews-Pesca_alla_trota_Campo_Franscia-Lanzada_Province_of_Sondrio_Lombardy.html,+393486604825,
Ristorante Pizzeria Derby,4.0,cibo economico,,Via Veneto 25,24020.0,Songavazzo,9.98981791,45.88091617,songavazzo,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2374917-d3539501-Reviews-Ristorante_Pizzeria_Derby-Songavazzo_Province_of_Bergamo_Lombardy.html,+3903461902625,
Ristorante Miramonti,4.5,fascia media,,Via Libertà 11,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d12071682-Reviews-Miramonti_Ristorante-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+3903641873043,
Rifugio Alpini di Campovecchio,4.5,cibo economico,,Localita Campovecchio SNC,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d7593180-Reviews-Rifugio_Alpini_di_Campovecchio-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+39036474108,
Corten,4.5,fascia media,,Via San Giovanni 4,37016.0,Garda,10.7070209,45.5749689,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194771-d17393611-Reviews-Corten-Garda_Province_of_Verona_Veneto.html,+393517729632,
Trattoria Della Pina,4.5,cibo economico,,Via Camillo Benso Conte di Cavour 72A,25048.0,Edolo,10.33711194,46.1782314,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2005249-d7243437-Reviews-Trattoria_Della_Pina-Edolo_Province_of_Brescia_Lombardy.html,+3903641959427,
Agriturismo Al Soldadì,4.5,cibo economico,,Via Les 54,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d3631435-Reviews-Agriturismo_Al_Soldadi-Corteno_Golgi_Province_of_Brescia_Lombardy.html,+393347968971,
Ristorante Albergo Le Betulle,3.5,cibo economico,,Via Monte Padrio 4,25040.0,Corteno Golgi,10.24224115,46.16596898,corteno golgi,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2277638-d6751003-Reviews-Ristorante_Albergo_le_Betulle_Di_Roberta_Orgnoni-Corteno_Golgi_Province_of_Bresc.html,+390342746591,
Bait Dal Ghet,4.5,cibo economico,,Via Plan 369,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d1426166-Reviews-Bait_Dal_Ghet-Livigno_Province_of_Sondrio_Lombardy.html,+390342970162,
La Mirage,4.0,fascia media,,Via Plan 201,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2194718-Reviews-La_Mirage-Livigno_Province_of_Sondrio_Lombardy.html,+390342997263,
La Pioda,4.5,fascia media,,Via Saroch 604,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d1151920-Reviews-La_Pioda-Livigno_Province_of_Sondrio_Lombardy.html,+390342997610,
Why Not?,4.5,fascia media,,Via Botarel 33,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d9618843-Reviews-Why_Not_Livigno-Livigno_Province_of_Sondrio_Lombardy.html,+393664652399,
Bivio Bistrot,4.0,fascia media,,Via Plan 422/A,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d1122409-Reviews-Bivio_Bistrot-Livigno_Province_of_Sondrio_Lombardy.html,+390342996137,
Latteria Livigno,4.5,fascia media,,Via Pemont 911,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2257428-Reviews-Latteria_di_Livigno-Livigno_Province_of_Sondrio_Lombardy.html,+390342970432,
Birrificio Livigno 1816,3.5,fascia media,,Via Pontiglia 37,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2083790-Reviews-Birrificio_Livigno-Livigno_Province_of_Sondrio_Lombardy.html,+390342996332,
Mauri's L'Hamburgheria,4.5,cibo economico,,Via Ostaria 406,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d13189059-Reviews-Mauri_s_L_Hamburgheria-Livigno_Province_of_Sondrio_Lombardy.html,+3903421856549,
Dosdè,4.5,fascia media,,Via Ostaria 209,23041.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d8462875-Reviews-Dosde-Livigno_Province_of_Sondrio_Lombardy.html,+393349887614,
Via Vai,4.5,fascia media,,Via Ostaria 47,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d3439744-Reviews-Via_Vai-Livigno_Province_of_Sondrio_Lombardy.html,+390342997771,
Marcos,4.5,fascia media,,Via Saroch 591,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d3724632-Reviews-Marcos_Pub-Livigno_Province_of_Sondrio_Lombardy.html,+390342970820,
Ristorante Bellavista,4.0,fascia media,,Via Saroch 425,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d10664130-Reviews-Ristorante_Bellavista-Livigno_Province_of_Sondrio_Lombardy.html,+390342997334,
Paprika,4.0,fascia media,,Via Plan 245,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2257427-Reviews-Paprika-Livigno_Province_of_Sondrio_Lombardy.html,+390342996050,
Cànoa,4.0,fascia media,,Via Fontana 221,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2037122-Reviews-Canoa-Livigno_Province_of_Sondrio_Lombardy.html,+390342970671,
Ristorante Tagliede,4.0,fascia media,,Via Ostaria 79,23041.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2320872-Reviews-Ristorante_Tagliede-Livigno_Province_of_Sondrio_Lombardy.html,+390342990753,
Ristorante Garden - Hotel Alpina,3.0,fascia media,,Via Bondi' 15,23041.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d9596241-Reviews-Ristorante_Garden_Hotel_Alpina-Livigno_Province_of_Sondrio_Lombardy.html,+390342996007,
carpe diem,4.0,fascia media,,Via Plan 347 E,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d5954963-Reviews-Carpe_diem-Livigno_Province_of_Sondrio_Lombardy.html,+393285357357,
Ristorante Whiskeria Toilasor,4.5,fascia media,,Via Compart 535,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2223536-Reviews-Ristorante_Whiskeria_Toilasor-Livigno_Province_of_Sondrio_Lombardy.html,+390342979259,
La Tea da Cip e Ciop,4.5,fascia media,,Via Tea Dal Pel,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d7799481-Reviews-La_Tea_da_Cip_e_Ciop-Livigno_Province_of_Sondrio_Lombardy.html,+393333120775,
The King Livigno,4.5,cibo economico,,Via Piceir N. 67,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d5862235-Reviews-The_King_Livigno-Livigno_Province_of_Sondrio_Lombardy.html,+390342970063,
Fresco Bistrot & Pizza,4.5,fascia media,,Via Saroch 35,23041.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d12140339-Reviews-Fresco_Bistrot-Livigno_Province_of_Sondrio_Lombardy.html,+390342996551,
La Grolla,3.5,fascia media,,Via Plan 307,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d1645623-Reviews-La_Grolla-Livigno_Province_of_Sondrio_Lombardy.html,+390342970283,
La Pastorella Ristorante Pizzeria,4.0,fascia media,,Via Plan 330,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d1645622-Reviews-La_Pastorella_Ristorante_Pizzeria-Livigno_Province_of_Sondrio_Lombardy.html,+393311170050,
Ristorante e Pizzeria Miravalle,4.5,fascia media,,Piazza Sant'Abbondio 3 Valdidentro,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d2481931-Reviews-Ristorante_e_Pizzeria_Miravalle-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342985264,
Baita de l'All,5.0,fascia media,,Via San Carlo San Carlo - Semogo,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d3403216-Reviews-Baita_de_l_All-Valdidentro_Province_of_Sondrio_Lombardy.html,+393387975672,
Ristorante Li Arnoga,4.5,fascia media,,Strada Statale 301 del Foscagno 8 Località Arnoga,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d5825163-Reviews-Ristorante_Li_Arnoga-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342927116,
Ristorante Interalpen,4.0,fascia media,,Strada Statale 301 Passo del Foscagno - Livigno,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d9765706-Reviews-Restaurant_Interalpen-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342979068,
La Pernice,4.5,fascia media,,Via Presot 9 Loc. Trepalle,23030.0,Livigno,10.13481042,46.53867334,livigno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194799-d2236296-Reviews-La_Pernice-Livigno_Province_of_Sondrio_Lombardy.html,+390342979166,
Agriturismo Baita Caricc,4.0,fascia media,,Località Caricc,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d4884482-Reviews-Agriturismo_Baita_Caricc-Valdidentro_Province_of_Sondrio_Lombardy.html,+3903421890244,
Rifugio Viola,3.5,fascia media,,M. 2314 Val Viola,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d2216957-Reviews-Rifugio_Viola-Valdidentro_Province_of_Sondrio_Lombardy.html,+393483419794,
Ristorante Pizzeria Fior d’Alpe,4.0,cucina raffinata,,Via Madonnina 6,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d13170132-Reviews-Ristorante_Pizzeria_Fior_d_Alpe-Valdidentro_Province_of_Sondrio_Lombardy.html,+3903421751000,
Alpen Hotel Ristorante,4.5,fascia media,,Via Pece 3 Hotel Alpen Chalet,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d2630859-Reviews-Alpen_Hotel_Ristorante-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342985875,
Ristoro Monte Scale,4.0,fascia media,,Via Cancano,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d10537510-Reviews-Ristoro_Monte_Scale-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342904660,
Rifugio Val Fraele,3.0,fascia media,,loc. Cornaccia Val Fraele,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d2479060-Reviews-Rifugio_Val_Fraele-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342902459,
Chalet La Rocca Ristorante Pizzeria,4.0,fascia media,,Localita' La Rocca,23032.0,Bormio,10.37559509,46.47015993,bormio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194697-d3766267-Reviews-Chalet_La_Rocca-Bormio_Province_of_Sondrio_Lombardy.html,+390342911100,
Ristoro Baita Altumeira,4.5,cibo economico,,Val Viola - Frazne Semogo,23038.0,Valdidentro,10.29680566,46.48933294,valdidentro,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g667205-d4814715-Reviews-Ristoro_Baita_Altumeira-Valdidentro_Province_of_Sondrio_Lombardy.html,+390342927146,
Pizzeria Ristorante Baci,4.5,fascia media,,Via San Lorenzo 14,24020.0,Valbondione,10.01261961,46.03798458,valbondione,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1826676-d3682643-Reviews-Pizzeria_Ristorante_Baci-Valbondione_Province_of_Bergamo_Lombardy.html,+390346090481,
Ol Mulineri',4.0,cibo economico,,Via San Lorenzo 27,24020.0,Valbondione,10.01261961,46.03798458,valbondione,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1826676-d8623312-Reviews-Ol_Mulineri-Valbondione_Province_of_Bergamo_Lombardy.html,+39034644294,
Albergo Ristorante Morandi,4.5,fascia media,,Via Dante Alighieri 19,24020.0,Valbondione,10.01261961,46.03798458,valbondione,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1826676-d7199381-Reviews-Albergo_Ristorante_Morandi-Valbondione_Province_of_Bergamo_Lombardy.html,+39034644001,
Parisi Cafè,4.0,cibo economico,,Via Alessandro Volta 7,20852.0,Villasanta,9.30195235,45.60427327,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1957908-d4563655-Reviews-Parisi_Cafe-Villasanta_Province_of_Monza_and_Brianza_Lombardy.html,+390392051745,
Il Moro Ristorante Pizzeria,4.0,fascia media,,Via Sant'Alberto 4,24020.0,Parre,9.89189745,45.87706854,songavazzo,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3570036-d3567044-Reviews-Il_Moro_Ristorante_Pizzeria-Parre_Province_of_Bergamo_Lombardy.html,+39035701103,
Hotel Ristorante Pizzeria Locanda Del Cacciatore,4.0,fascia media,,Via Roma 9,24020.0,Gromo,9.92990165,45.97038555,gromo,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2088613-d4782551-Reviews-Hotel_Ristorante_Pizzeria_Locanda_Del_Cacciatore-Gromo_Province_of_Bergamo_Lomba.html,+39034641112,
Crazy Camping Bar Pizzeria,3.0,cibo economico,,Via Case Corti 3,24020.0,Valbondione,10.01261961,46.03798458,valbondione,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1826676-d10733125-Reviews-Crazy_Camping_Bar_Pizzeria-Valbondione_Province_of_Bergamo_Lombardy.html,+393386324537,
Ristorante Pizzeria 4 Pis,4.0,fascia media,,Via Placido Piantoni 13,24020.0,Colere,10.08572191,45.97390225,colere,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3710626-d10785587-Reviews-Ristorante_Pizzeria_4_Pis-Colere_Province_of_Bergamo_Lombardy.html,+39034654136,
Malga Fratte,4.0,fascia media,,Val di Rabbi,38020.0,Rabbi,10.85065549,46.39825276,ponte di legno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1604040-d10731559-Reviews-Malga_Fratte-Rabbi_Province_of_Trento_Trentino_Alto_Adige.html,+393392868811,
12oz Street Coffee,2.5,cibo economico,,Piazzale XXV Aprile,37138.0,Verona,10.99352685,45.43839046,bagolino,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187871-d13002224-Reviews-12oz_Street_Coffee-Verona_Province_of_Verona_Veneto.html,+390459000146,
Caffe Maya,3.0,fascia media,,Via Bernardino Luini 51,22100.0,Como,9.08515955,45.8099912,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187835-d7993000-Reviews-Caffe_Maya-Como_Lake_Como_Lombardy.html,+39031279398,
Mandarin 2,4.5,fascia media,,Via Garofalo 22/A,20133.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d1114159-Reviews-Mandarin_2-Milan_Lombardy.html,+39022664147,
Rifugio Canziani al Lago Verde,4.0,fascia media,,Rifugio Canziani 84,39016.0,Ultimo,11.00306602,46.54883009,valfurva,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1059843-d3322700-Reviews-Rifugio_Canziani_al_Lago_Verde-Ultimo_Province_of_South_Tyrol_Trentino_Alto_Adig.html,+390473798120,
Trattoria Corto Maltese,4.0,cibo economico,,Via Attilio Franchi 3,25127.0,Brescia,10.21910323,45.53993052,pisogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g194702-d1951119-Reviews-Trattoria_Corto_Maltese-Brescia_Province_of_Brescia_Lombardy.html,+39030304388,
Malga Stablasolo,4.0,fascia media,,Val di Rabbi,38027.0,Rabbi,10.85065549,46.39825276,ponte di legno,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1604040-d3422091-Reviews-Malga_Stablasolo-Rabbi_Province_of_Trento_Trentino_Alto_Adige.html,+393888639582,
Santo Stefano 2,3.5,cibo economico,,Via Villoresi 29,20010.0,Corbetta,8.92189794,45.46753305,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1221352-d7691212-Reviews-Santo_Stefano_2-Corbetta_Province_of_Milan_Lombardy.html,+39029771859,
Miniera d'Oro Ristorante Pizzeria Bar,1.0,cucina raffinata,,Piazza Duca d'Aosta 14 Stazione centrale,20124.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d10691568-Reviews-Miniera_d_Oro_Ristorante_Pizzeria_Bar-Milan_Lombardy.html,+390236768270,
Sushi&Grill Asian Fusion Restaurant,3.0,cibo economico,,Via Dante 98/100 Acanto a Mcdonalds,20081.0,Abbiategrasso,8.91748563,45.39857615,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1137869-d3847222-Reviews-Sushi_Grill_Asian_Fusion_Restaurant-Abbiategrasso_Province_of_Milan_Lombardy.html,+39029462978,
Hiro Japanese Restaurant,2.5,fascia media,,Via Gallarate 38,21045.0,Gazzada Schianno,8.82558358,45.78025066,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2300039-d12616324-Reviews-Hiro_Japanese_Restaurant-Gazzada_Schianno_Province_of_Varese_Lombardy.html,+390332870390,
Ca'puccino,2.5,fascia media,,Via della Moda 1 Serravalle Designer Outlet,15069.0,Serravalle Scrivia,8.85899164,44.71947066,santa margherita di staffora,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1079908-d6033020-Reviews-Ca_puccino-Serravalle_Scrivia_Province_of_Alessandria_Piedmont.html,+390143609000,
Agriturismo Domizia,5.0,cibo economico,,via Mascherpinga 71,24060.0,Adrara San Martino,9.9482497,45.69819924,pisogne,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g2337656-d4049111-Reviews-Agriturismo_Domizia-Adrara_San_Martino_Province_of_Bergamo_Lombardy.html,+393482452796,
I Pupari,4.0,fascia media,,Viale Monza 57,20125.0,Milano,9.1903474,45.46679408,lecco,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g187849-d14792753-Reviews-I_Pupari-Milan_Lombardy.html,+390249707626,
Masa Chalet,4.5,fascia media,,Via Cantoniera 19,24020.0,Colere,10.08572191,45.97390225,colere,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g3710626-d24167982-Reviews-Masa_Chalet-Colere_Province_of_Bergamo_Lombardy.html,+39034632081,
AI Traversanti,4.5,fascia media,,Via Case Sparse 40 Località Traversanti,25079.0,Collio,10.33333286,45.81116683,collio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1182492-d3685620-Reviews-AI_Traversanti-Collio_Province_of_Brescia_Lombardy.html,+393333757240,
Ristorante Hotel Locanda Bonardi,4.0,fascia media,,Via Maniva 256 Hotel Locanda Bonardi,25060.0,Collio,10.33333286,45.81116683,collio,tripadvisor,https://www.tripadvisor.it/Restaurant_Review-g1182492-d8467821-Reviews-Ristorante_Hotel_Locanda_Bonardi-Collio_Province_of_Brescia_Lombardy.html,+390309220911,
